"team","score","var"
"frc1153",0.197916666666667,0.0989583333333333
"frc1155",0.0208333333333333,0.0104166666666667
"frc1156",0.236111111111111,0.118055555555556
"frc1157",0.0833333333333333,0.0416666666666667
"frc1159",0.0416666666666667,0.0208333333333333
"frc116",0.180555555555556,0.0894245015071088
"frc1160",0.0416666666666667,0.0208333333333333
"frc1164",0.125,0.0625
"frc1165",0.1875,0.0510310363079829
"frc1168",0.104166666666667,0
"frc117",0,0
"frc1178",0,0
"frc118",0.847222222222222,0.0986552207483517
"frc1182",0.125,0.0625
"frc1188",0.229166666666667,0.114583333333333
"frc1189",0.252083333333333,0.0520486781674513
"frc1195",0,0
"frc1197",0.145833333333333,0.0729166666666667
"frc120",0.131944444444444,0.0659722222222222
"frc1203",0,0
"frc1208",0.270833333333333,0.135416666666667
"frc1209",0.0416666666666667,0
"frc121",0.125,0.0625
"frc1212",0.0833333333333333,0.0416666666666667
"frc1218",0.329166666666667,0.164583333333333
"frc1219",0,0
"frc122",0.0138888888888889,0.00694444444444444
"frc1225",0.319444444444444,0.159722222222222
"frc1228",0.222222222222222,0.111111111111111
"frc123",0.114583333333333,0.0572916666666667
"frc1230",0.0416666666666667,0.0208333333333333
"frc1241",0.447916666666667,0.0954703269782467
"frc1243",0.145833333333333,0.0729166666666667
"frc1245",0.0833333333333333,0.0416666666666667
"frc1246",0.125,0.0625
"frc1247",0,0
"frc1248",0.0833333333333333,0.0416666666666667
"frc1249",0.0625,0.03125
"frc125",0.527777777777778,0.0796191637888717
"frc1250",0.145833333333333,0.0729166666666667
"frc1251",0.277777777777778,0.138888888888889
"frc1254",0.0625,0.03125
"frc1255",0.0694444444444444,0.0347222222222222
"frc1257",0.194444444444444,0.0972222222222222
"frc1258",0.1875,0.09375
"frc1259",0.25,0.125
"frc126",0.253472222222222,0.126736111111111
"frc1261",0.25,0.125
"frc1262",0.25,0.125
"frc1266",0.229166666666667,0.114583333333333
"frc1270",0,0
"frc1274",0,0
"frc1277",0.0416666666666667,0.0208333333333333
"frc1279",0.152777777777778,9.81307786677359e-18
"frc128",0.166666666666667,0.0833333333333333
"frc1280",0.145833333333333,0.0510310363079829
"frc1285",0.328125,0.1640625
"frc1287",0.256944444444444,0.128472222222222
"frc1288",0.215277777777778,0.107638888888889
"frc1289",0.0208333333333333,0.0104166666666667
"frc1290",0.0833333333333333,0.0416666666666667
"frc1293",0,0
"frc1294",0.197916666666667,0.0989583333333333
"frc1296",0.270833333333333,0.135416666666667
"frc1302",0.104166666666667,0.0520833333333333
"frc1303",0,0
"frc1304",0,0
"frc1305",0.138888888888889,0.0694444444444444
"frc1306",0,0
"frc1307",0.1875,0.09375
"frc1308",0,0
"frc131",0.1875,0.09375
"frc1310",0.368055555555556,0.184027777777778
"frc1311",0.138888888888889,0.0305021169820366
"frc1317",0.166666666666667,0.0833333333333333
"frc1318",0.491666666666667,0.245833333333333
"frc1319",0.25,0.125
"frc1322",0.107638888888889,0.0241498911700921
"frc1323",0.375,0.1875
"frc1325",0.35,0.175
"frc1329",0.145833333333333,0.0729166666666667
"frc133",0.270833333333333,0.135416666666667
"frc1332",0.0625,0.03125
"frc1334",0.319444444444444,0.13636789610187
"frc1339",0.1875,0.09375
"frc1340",0,0
"frc1348",0,0
"frc135",0.388888888888889,0.194444444444444
"frc1350",0.145833333333333,0.0729166666666667
"frc1351",0.0625,0.03125
"frc1359",0.125,0.0625
"frc136",0.0416666666666667,0.0208333333333333
"frc1361",0,0
"frc1367",0.1875,0.09375
"frc1369",0.0555555555555556,0.0277777777777778
"frc1370",0.138888888888889,0.0694444444444444
"frc1378",0.0833333333333333,0.0416666666666667
"frc1379",0,0
"frc138",0.25,0.125
"frc1382",0,0
"frc1388",0.1875,0.0883883476483184
"frc1389",0.166666666666667,0.0833333333333333
"frc1391",0.159722222222222,0.0790681460921356
"frc1396",0.0833333333333333,0.0416666666666667
"frc1398",0,0
"frc1403",0.309027777777778,0.136087168317824
"frc1404",0,0
"frc1405",0.291666666666667,0.145833333333333
"frc141",0.130555555555556,0.0198696410858772
"frc1410",0.215277777777778,0.049662014501437
"frc1413",0.125,0.0625
"frc1414",0.125,0.0625
"frc1418",0.291666666666667,0.145833333333333
"frc1421",0.291666666666667,0.145833333333333
"frc1422",0.125,0.0625
"frc1425",0.354166666666667,0.177083333333333
"frc1429",0.09375,0.0258883476483184
"frc1432",0.0208333333333333,0.0104166666666667
"frc1438",0,0
"frc144",0.239583333333333,0.119791666666667
"frc1444",0.166666666666667,0.0833333333333333
"frc1446",0,0
"frc1448",0.125,0.0625
"frc145",0.375,0.1875
"frc1450",0.0208333333333333,0.0104166666666667
"frc1452",0,0
"frc1458",0.0902777777777778,0.0451388888888889
"frc1466",0.125,0.0625
"frc1468",0.229166666666667,0.114583333333333
"frc1474",0.0833333333333333,0.0416666666666667
"frc1477",0.409722222222222,0.20297392079637
"frc148",0.691666666666667,0.0206644735665188
"frc1481",0.1875,0.09375
"frc1482",0.166666666666667,0.0833333333333333
"frc1492",0.166666666666667,0.0833333333333333
